status	path	actual_bytes	reference_bytes	actual_sha256	reference_sha256
HASH_MISMATCH	boot.$C	31761	31761	13cd01d2ab7af8b73259c2acba26ae6e0584fe5dc40ae62006083a8d92b05767	71460b29da1f4889a715fe0529fa4df6bcc8d3a5a8c17a7a178bcc550b4722b7
MATCH	Help.txt	1871	1871	123d4e3297622511b3fa595210d8003a02950448506740e202f93baaedf0b646	123d4e3297622511b3fa595210d8003a02950448506740e202f93baaedf0b646
MATCH	WC/BMPV.WMF	5935	5935	82a707d1fa2ab573f497d9158251f50005b4b7b4129c6b46107cbefe69d13bb4	82a707d1fa2ab573f497d9158251f50005b4b7b4129c6b46107cbefe69d13bb4
EXTRA_ACTUAL	WC/CHKDSK.WMF	11599		f44b80016dd8e8dea87936ec21b206a066efdbcb5b7d7c0ebb5ce3b9dff562f3	
MATCH	WC/CLOCK.WMF	75009	75009	8957c4d0cb2d5437fdb90c8a2adec10663e52118e54c0d74e584546dd5626998	8957c4d0cb2d5437fdb90c8a2adec10663e52118e54c0d74e584546dd5626998
MATCH	WC/COMPILER.WMF	18412	18412	29d2c7f9db3f546909206aeca3c0bab970c9a57f880307f411a4e20a53470693	29d2c7f9db3f546909206aeca3c0bab970c9a57f880307f411a4e20a53470693
MATCH	WC/FILE_CR.WMF	20241	20241	18e9ca95813e7988f4102bc96aa407aa25541b5e1162027b6bf75986deaade13	18e9ca95813e7988f4102bc96aa407aa25541b5e1162027b6bf75986deaade13
EXTRA_ACTUAL	WC/FILEX.WMF	7237		943472d960d3f8a9f0143d19d12532846a42ac622e39e6c79c567c24684d7093	
HASH_MISMATCH	WC/FTVIEW.WMF	33280	9305	56adb9de592ce3288dd6bce938b95e90d097204c909d055e5d5b4fd071089d7c	6e60dbf05f2d44166c0393ef25d755b44911a025d36584c6c88a0a24538a820f
MATCH	WC/GIFVIEW.WMF	3298	3298	49162fa8e3eade9259cdf2bf1269065120eb394efb31a5e69208078322c2bb82	49162fa8e3eade9259cdf2bf1269065120eb394efb31a5e69208078322c2bb82
MATCH	WC/GSPLAYER.WMF	12534	12534	69c40c10631e14663986c88c62f1216cb14227c442fd91fe023aff841b29aeeb	69c40c10631e14663986c88c62f1216cb14227c442fd91fe023aff841b29aeeb
MATCH	WC/ILBMVIEW.WMF	18944	18944	5ff5186062e9531190596c2f96a8356440f4f0c97ddd580c12fe1d69df3a335b	5ff5186062e9531190596c2f96a8356440f4f0c97ddd580c12fe1d69df3a335b
